#{"t_start": 1683234452.6882575, "env_id": "Snake-v0"}
r,l,t
947.966152,139,0.150311
9429.258275,1699,2.44621
1963.111641,124,2.596596
-51.640814,208,19.263138
3872.292211,360,19.606056
3874.74479,359,19.955644
3862.613797,456,20.418357
9708.090386,956,37.911592
-1034.241399,114,38.017119
-7.568277,47,38.059763
30017.528669,3057,55.908964
3930.645127,272,56.222638
13580.220424,1194,71.935966
6796.251567,618,72.621004
6846.0549,582,73.391382
-1010.879836,61,88.311438
-72.345492,235,88.531318
928.012401,271,88.796092
10650.306258,903,89.721112
9612.315321,1145,105.83824
-21.293278,64,105.900876
12469.362192,1425,107.358474
-37.8378,89,122.502841
20409.64802,1718,124.530088
6798.643339,621,140.023528
940.634782,172,140.188236
6784.768194,497,140.701284
6758.807513,828,141.500197
15545.569113,1629,160.580097
1960.948362,149,160.756863
3922.1542,284,161.242674
2762.993164,755,179.458128
6732.745806,800,180.404879
12448.852571,1902,199.062108
4780.090749,536,199.689729
9360.557763,1957,219.200703
-1012.009785,31,219.236353
7845.040998,633,237.179375
7812.786914,607,237.890154
-17.271693,71,237.990827
890.141727,232,238.296539
9755.355702,749,239.070521
10706.75255,903,255.775849
986.485534,77,255.883921
10658.707774,1139,257.139862
8741.678995,973,275.333571
5923.086988,354,275.680913
-27.743353,146,275.827722
1887.190081,261,276.095182
6719.740146,777,291.541852
11690.440712,970,292.471227
8794.97449,770,307.959354
4847.569448,541,308.478544
-122.148051,403,308.899815
13588.195182,1125,324.604887
2872.667181,333,324.924176
9784.284124,749,325.638761
5666.887022,769,326.473329
16570.096663,1338,342.25861
-1.194742,9,342.267133
6725.975064,816,357.494583
11525.574338,1273,358.736261
10712.349579,848,373.987866
4859.29351,436,374.399258
16378.901169,1818,393.744155
3808.868866,457,394.168693
-4.752081,26,394.191337
-54.299575,108,394.303594
28306.649462,2051,414.076661
7759.288498,846,414.897868
-10.971596,60,414.953356
19456.059951,1732,432.00575
4899.613831,374,432.371107
4951.15401,241,447.386271
6742.068532,815,448.166855
918.238091,237,448.411473
876.579413,329,448.812886
4828.661574,630,463.863067
2967.535263,151,463.990227
6838.80624,473,464.385676
12587.649912,1271,465.471478
-26.706239,61,465.521138
-1078.246881,200,478.76319
-1014.395153,33,478.791337
2964.885059,169,478.937166
18405.770026,1847,493.449913
3741.877083,769,494.143002
8862.505471,537,494.636191
-8.627201,52,494.680393
-17.664036,56,494.727338
4858.802599,395,495.066997
2916.503516,323,508.001437
2876.773542,443,508.393015
-32.373313,148,508.525486
-14.259162,33,508.554107
-488.766007,1465,522.840946
-38.485942,107,522.929943
-7.627807,31,522.95517
3810.127063,541,523.408096
-1012.095769,56,523.45544
3885.521908,446,523.8455
-1006.350333,15,523.859684
-16.460351,45,523.898287
7813.715413,578,536.951079
3878.323069,427,537.32052
13545.066574,1259,538.399027
1898.739609,276,538.632315
3719.573,727,552.927376
26120.73192,2471,571.77191
2906.452863,321,572.089521
6739.40891,837,588.757248
