#{"t_start": 1683234452.6694124, "env_id": "Snake-v0"}
r,l,t
-1019.518492,91,0.127948
-115.554657,376,0.591429
2894.0507,307,0.916404
9068.031242,2162,20.018723
962.326207,140,20.166288
-1023.574119,95,20.258605
6720.378406,956,37.771133
8864.074788,547,38.284687
-12.668525,67,38.347108
1970.175572,105,38.443773
8760.713456,705,39.108216
2896.857938,335,39.436216
-40.389122,76,39.507776
3914.569432,310,54.581617
4888.291231,404,55.002782
3653.550531,715,55.770754
879.588134,248,56.072302
-15.303744,55,56.131795
3881.757482,403,56.54687
3788.969791,703,71.791667
8703.439786,860,72.694873
4707.613255,736,88.469399
3741.508324,656,89.113761
-35.903675,90,89.211457
8748.06843,756,89.972652
1939.140972,178,90.150283
-1026.403525,72,90.218326
-1002.691834,21,90.239935
2934.865351,209,105.442779
-1002.010074,17,105.459969
1933.279752,184,105.640736
952.664378,217,105.852446
9672.62604,958,106.855764
818.933074,544,107.386929
-10.483948,60,122.502131
6878.75796,481,122.978153
-10.853588,55,123.039153
3972.57459,161,123.278938
4836.095722,524,123.916613
1972.496003,137,124.08699
1945.901596,235,124.383335
1927.303612,221,124.637609
-11.128929,57,124.700408
4834.972104,538,140.088214
3710.377985,982,141.076838
7769.663894,825,159.106922
1916.831362,186,159.303448
17438.997462,1550,161.303099
965.158322,114,161.443318
936.868308,150,178.905811
-11.990216,71,178.99095
-8.040974,55,179.05597
2888.610334,357,179.512335
950.876191,146,179.696974
958.696285,107,179.821835
4009.234336,2813,199.50702
10432.042856,1813,218.899751
3838.660465,436,219.381397
19534.447189,1509,238.410135
-17.218637,57,238.482279
16657.076411,1158,255.295351
4908.750588,339,255.770953
1945.30037,225,256.084168
-21.549591,83,256.177315
3937.817041,220,256.416707
11545.08608,1232,274.905692
-8.871726,51,274.961517
2877.479294,433,275.387862
3875.22202,379,275.760075
3882.904847,449,276.210925
2882.467627,386,291.286777
2961.181541,187,291.466775
5741.424334,736,292.162117
985.189877,76,292.238729
-1011.473987,31,292.267443
11599.913845,1069,308.046608
-12.468302,39,308.082883
-29.833168,80,308.162236
9695.566539,876,309.034951
26080.920553,2947,341.042418
14365.425644,1765,342.787375
2628.205383,858,358.050679
4863.29341,369,358.412607
956.61123,119,358.533394
-37.812449,104,358.636325
4578.291519,1041,374.072574
2961.910555,221,374.280619
3870.064921,563,374.873674
6830.67222,508,375.51113
-1002.666505,11,375.524949
9755.838536,751,393.639141
-26.773446,166,393.793705
14623.513216,1074,395.02845
982.455457,81,395.125391
21360.118575,1945,414.560533
-37.02179,87,414.64215
7758.566665,770,430.671029
2792.123217,447,431.202608
1963.163545,117,431.316889
18313.891128,1872,447.917065
3878.709488,338,448.238845
3895.433339,386,448.692026
10621.479247,1024,464.108191
5728.418588,827,464.798066
-1028.967948,67,464.855646
5814.860266,539,465.327478
888.315725,308,465.582779
10794.055745,780,479.335733
11444.595642,1530,493.572959
-311.646957,684,494.186501
3649.742088,1019,495.092757
8858.265012,552,508.225481
-12.114984,63,508.283585
3840.507366,445,508.678379
10597.382987,1201,522.738177
10478.118556,1423,523.953082
1949.367802,194,524.121119
2808.645164,511,537.115663
3918.873747,283,537.357416
3736.266747,684,537.941181
-27.360672,66,537.996943
1916.836944,255,538.2233
9809.789934,666,552.377517
978.207815,90,552.495686
7767.803643,728,553.181056
2937.27798,191,553.439107
5803.96458,509,554.19355
8724.243694,943,571.226468
16489.44213,1740,588.780025
12631.758121,1093,590.231395
