#{"t_start": 1683234452.6649508, "env_id": "Snake-v0"}
r,l,t
11724.385783,916,1.085679
3748.653626,601,2.046318
9714.32024,922,19.537015
2691.232114,760,20.299859
930.732667,211,20.503764
13581.866189,1208,38.23368
-8.777677,34,38.267245
2877.226034,433,38.671739
3854.402139,408,39.057414
8785.236922,743,54.553305
2919.269344,345,54.919594
3826.616875,407,55.308183
3940.721733,244,55.54582
7725.093563,891,56.580836
8653.692356,994,72.146587
-8.816715,52,72.201952
10645.960228,1164,88.415925
4671.535272,1060,89.491508
4840.911399,499,89.970221
8779.98341,651,105.610213
5837.854281,497,106.100714
1928.762844,290,106.41462
4842.973449,447,106.883542
-19.796598,88,106.966152
834.518831,523,122.53957
941.890504,171,122.716904
5696.972427,862,123.716128
2875.092238,392,124.210097
974.072606,113,124.35437
6557.851416,1150,140.423302
22272.232803,2067,159.728659
7763.351838,698,160.600183
972.012388,128,160.753212
3911.237204,278,161.23224
1949.760801,166,161.434097
-1009.691732,28,161.467492
6479.741239,1506,180.561926
-263.250666,785,197.957216
13656.091137,1106,199.191177
-1040.127321,143,199.335395
-51.15944,132,199.499419
19476.397787,1776,218.861307
2935.975738,226,219.077798
7542.230139,1218,237.668378
-1039.877689,86,237.804623
13706.359382,1109,239.074759
2933.865579,256,254.984302
-1015.571568,63,255.053689
5782.650441,822,256.098621
10567.130518,1480,274.86689
10606.557375,1166,276.036116
4765.260356,597,291.309081
17343.458303,2178,308.143089
4883.450108,328,308.459992
3891.26817,378,308.849864
933.858265,170,309.018772
-1065.048262,172,309.17832
12471.037188,1399,325.153388
10554.676464,1383,341.033548
2845.524294,476,341.50557
2930.502337,208,341.712008
17496.659856,1548,357.655728
-1000.967864,3,357.658591
-1020.952355,51,357.707631
-1005.730514,32,357.737969
9748.611621,735,358.466915
9605.116599,1087,373.94901
1700.334831,607,374.549061
1978.437844,91,374.672927
1890.29879,210,374.872247
-40.740957,76,374.957093
11694.763665,869,375.995067
9429.415942,1612,395.077791
977.354488,70,395.168382
5850.459165,417,395.787276
2944.52747,166,413.285437
10599.865532,1037,414.282982
-33.197951,83,414.359698
3951.225951,176,414.529954
-15.176406,82,414.607604
15393.191047,2156,432.089197
935.851438,154,432.238993
1964.187476,136,432.365207
2916.679792,248,447.386354
943.444455,197,447.572291
1969.205839,121,447.689676
-1373.898743,992,448.735579
11674.839594,1136,464.236316
5763.683924,632,464.760034
9729.233895,1050,478.732705
4916.294284,244,478.942979
7746.272815,802,479.72865
-3.52841,20,479.761865
-6.441322,29,479.798629
18470.387197,1807,494.185681
3873.232834,291,494.454592
8739.322272,794,495.148723
13558.37275,1208,508.862599
946.875589,128,508.967997
11579.095558,1190,523.014
1908.154158,234,523.210384
-142.269389,350,523.5058
7763.326982,776,524.182854
17340.120183,2139,538.570331
13582.181594,1194,553.350555
1908.408822,219,553.637094
8791.272819,729,554.631609
10756.611495,755,571.398291
2926.487202,243,571.645741
9819.204169,578,572.211917
11591.603294,1126,589.219796
-9.331594,42,589.263331
988.754492,57,589.337016
925.713378,188,589.559595
7700.230813,803,590.673956
935.023062,207,590.899293
-1.832951,16,590.914755
971.954024,115,591.030721
-1001.077317,4,591.035727
