#{"t_start": 1683237342.8072193, "env_id": "Snake-v0"}
r,l,t
6763.24632,696,0.440156
4818.401309,486,0.731744
6729.718719,849,1.204815
6807.940455,515,5.337691
-55.59663,174,5.435847
974.124282,89,5.487664
15731.161095,811,5.974396
5621.243376,1022,10.133947
19276.297679,2189,16.550251
7675.41475,991,17.085865
1910.855604,250,17.239141
1876.96922,400,21.537627
4740.245703,668,22.039617
12583.684474,1260,26.845412
16493.355541,1362,27.663125
8714.99981,879,32.979308
-74.676666,188,33.102558
2946.367485,182,33.247125
-6.839603,30,33.264943
3896.637424,298,33.433133
-13.704274,55,33.465133
12664.906911,1213,38.475244
-26.190989,125,38.575555
-1070.594687,165,38.685421
1861.889467,429,39.001697
8644.652307,948,39.723388
4882.368598,386,44.738803
6525.671009,1062,45.524373
3949.220751,231,45.72088
982.940665,101,45.777096
2778.217059,524,50.822433
17441.137343,1393,51.975078
7924.514104,398,52.234213
3834.01441,457,57.849692
4875.442987,435,58.156955
1954.108443,169,58.282219
2932.096423,215,58.452712
983.566325,64,58.502689
5843.795222,481,58.796033
-56.75597,198,58.906687
3893.201954,268,63.663325
-1004.317317,11,63.674392
-38.857738,124,63.80157
-9.447065,58,63.850281
9684.116711,924,64.391878
5814.670618,463,64.684543
2793.724595,544,69.831426
-20.273735,60,69.873677
16517.746168,1489,70.825287
-16.227509,60,70.857213
-37.932436,123,70.928019
921.586282,276,75.414541
17565.753083,1349,76.262909
-23.789272,75,76.303745
20459.636858,1739,82.719467
4826.563727,502,82.991411
-0.79695,8,82.996157
3926.679288,260,87.347661
6774.865754,553,87.761535
9735.432618,817,88.354592
19471.446504,1623,93.62185
5816.9858,544,93.921351
961.610163,113,93.980979
2899.593758,264,94.117368
3856.312872,564,98.177457
-2.156672,17,98.188406
11695.685903,992,98.758919
946.3375,144,98.834417
6835.374467,486,99.08832
3801.897399,552,103.668668
14494.603414,1481,104.733354
4854.847428,406,108.765681
10762.124712,717,109.195731
12479.801255,1453,113.878403
5776.907047,739,114.358906
983.339671,71,114.410667
2910.460509,336,114.620262
944.954749,120,114.693073
6850.222954,466,119.204286
4814.694,473,119.651118
21015.462563,2723,125.231613
2934.146181,250,125.364686
2922.241594,239,125.494894
5664.500903,800,130.38714
1957.075941,175,130.579534
4795.82605,485,130.86907
895.503418,245,131.021664
-1017.504694,53,131.056955
-61.747498,232,131.18934
4752.705914,716,135.901006
-82.929282,304,136.088525
911.45654,245,136.231848
7838.547463,522,136.52362
4843.153927,512,136.797507
5887.203688,409,141.377725
4879.202418,393,141.611362
3914.999204,335,141.814815
-13.655943,52,141.853604
12433.111692,1694,147.884327
1972.388918,106,148.037927
3866.778477,425,148.429959
2920.684183,325,148.767598
23245.481284,2099,155.796456
7843.20498,634,161.129
23226.304648,2231,167.163669
1752.811729,776,167.60757
4749.826818,802,168.053156
-12.680021,69,172.521098
1887.829878,265,172.719434
-29.775478,75,172.769735
8803.358835,687,173.197262
2903.921844,272,173.347353
1943.722829,191,173.451586
953.881413,153,173.552029
8638.70304,1115,178.254813
17531.050466,1401,184.260798
1932.506064,200,184.431605
4821.471703,502,184.777611
13477.865062,1328,190.592723
-9.707092,62,190.641526
3837.641555,462,190.943052
13668.992177,1098,191.860152
2909.5867,323,196.433401
19117.630761,2662,202.827808
-15.401528,57,202.9133
3769.466834,589,203.622345
5771.907186,745,204.107981
877.205119,286,208.413749
10791.391031,659,208.837021
2811.767316,497,209.119968
9700.687362,957,213.880298
12538.473452,1201,214.610514
6868.966243,462,214.868635
1888.502833,317,219.304786
3883.357631,368,219.560794
12638.209332,1050,220.19839
