#{"t_start": 1683237342.7997549, "env_id": "Snake-v0"}
r,l,t
10372.962408,1952,1.166999
3932.161153,237,5.137096
8676.36341,944,5.672441
9691.446892,1030,9.818433
21181.569841,2619,16.53062
5762.192227,686,16.902023
9725.39217,920,21.490148
6713.356554,771,22.060353
981.524047,87,22.11316
11660.009289,981,22.690931
8755.097584,760,27.236353
9709.283672,981,27.777691
-23.427799,68,27.812845
7672.794952,753,33.082627
-9.714166,59,33.122986
5816.07978,458,33.422524
952.425202,134,33.497759
-1029.753274,62,33.531206
13412.658078,1853,39.030932
12571.87249,1277,44.726434
1966.756868,149,44.830571
-23.422944,67,44.874621
5797.136511,615,45.249382
3923.481276,318,45.614702
-55.175537,105,45.690519
10539.020217,1485,51.360256
2830.921705,504,51.911417
-9.453703,36,51.938535
7832.177096,584,57.589152
9742.047133,870,58.241318
2801.195886,479,58.595582
835.828175,494,58.885755
11728.319498,920,64.107342
1867.673844,320,64.290235
1975.587195,156,64.377537
3892.989393,450,64.647636
28915.46534,3105,75.760241
2918.606115,258,75.924402
9695.45508,1021,76.505187
16609.96322,1132,82.454669
1920.635666,243,82.72104
11623.614314,1094,87.610903
-1031.539465,66,87.655831
3827.307691,516,87.968471
2887.059677,281,88.221022
4858.408863,436,88.550098
21192.078304,2659,98.042339
3786.447681,516,98.373794
-54.273678,168,98.473885
7812.55841,774,98.894022
3867.012817,401,99.103947
7875.904906,473,103.634197
1912.751912,267,103.803891
2905.467221,320,103.987767
1928.988711,192,104.098326
13612.073001,1234,108.813083
11679.057684,924,109.352373
7842.207205,453,109.603945
-1002.333803,7,109.608607
17625.072651,1190,114.193016
7763.843592,632,114.600029
8679.523607,921,119.532527
4870.603574,412,119.794932
11337.47763,1707,124.786037
939.368008,131,124.866771
4792.029003,614,125.214374
2922.247799,301,125.376335
986.236865,79,125.418854
-1012.195215,56,125.450489
1952.277514,115,125.512909
15411.963218,1557,130.946446
6761.534739,754,135.642991
-40.904362,93,135.709303
1904.823946,293,135.914402
9698.298531,1023,136.509157
20404.189835,1823,141.920502
4671.098357,903,147.298873
19480.976,1772,148.955065
2922.678353,246,154.809637
8881.980836,542,155.181077
1914.550702,229,155.314053
-10.541762,53,155.344292
-16.96174,59,155.378386
7707.615862,766,155.806324
12687.155023,1031,161.398949
14394.918636,1824,167.165909
5865.663539,504,167.459496
9791.285634,631,167.812767
4816.35443,562,172.561407
17456.706025,1574,173.543277
-12.288228,60,173.587409
19478.573966,1800,178.686147
967.131473,104,178.749652
3633.572211,763,184.4289
2906.099889,392,184.703405
11636.693969,1107,185.498444
2968.358933,170,185.630334
7897.901615,445,190.791977
4765.725953,674,191.283554
1807.249596,600,191.80231
-13.737873,69,191.85541
7459.187149,1379,197.152691
951.937919,155,197.240251
1971.500825,130,197.316015
6860.314226,508,197.650369
16425.205867,1697,203.776584
1928.091886,257,203.946431
9637.421744,1027,208.742854
8687.580376,840,209.229133
1923.581354,203,209.363158
1929.744988,189,209.490075
7712.052284,753,214.124138
-13.847243,88,214.192248
-33.274655,102,214.249971
968.339872,138,214.329625
982.801713,102,214.38598
15595.221665,1377,219.433388
16449.028949,1649,224.641666
7839.031933,563,225.033867
1938.885595,238,225.196234
-32.181137,69,225.236017
-1003.902096,9,225.241683
-9.080733,53,225.270634
4944.767833,247,225.417221
-1007.5391,32,225.436732
9744.438591,852,230.200853
1972.865583,145,230.303864
21456.320458,1815,231.785355
982.238332,104,237.122889
13716.096177,969,237.816624
1946.99851,208,237.931992
9741.565986,912,243.094424
1819.816507,364,243.42589
8672.758735,927,243.974021
1883.522339,341,244.161703
-8.919099,37,244.182255
1910.120766,231,244.341271
-186.329279,661,249.221722
26243.062416,2774,255.615752
2.634516,2752,261.902061
9693.738271,1059,266.855138
18329.03062,2162,274.161498
7791.350918,642,274.586589
3894.292374,336,279.681116
23175.935975,2531,288.875333
9705.116111,747,289.810215
4780.534319,769,296.003177
4911.316654,363,296.259171
9737.240646,786,296.71921
1895.035875,266,296.867422
12694.566071,992,301.527566
4813.714105,583,301.975573
1947.55164,237,302.112882
11709.320008,987,307.579268
-1025.480291,62,307.626383
-9.061367,52,307.663022
18418.821016,1760,308.842089
6717.612284,745,313.300779
1889.358632,255,313.45017
6730.238864,727,313.892525
4836.559362,452,318.260074
2867.138547,392,318.59996
-1026.796534,134,318.713232
18357.949278,1889,325.796406
963.617359,121,325.947165
3759.327197,599,326.665514
9801.699911,674,327.289464
951.998036,155,327.398055
22222.35448,2223,337.913338
-9.050336,51,337.951282
9735.275278,892,338.627252
7796.888336,693,339.044613
7696.541169,885,344.395455
-13.776502,58,344.449248
15371.365905,1799,350.964935
-24.822423,99,351.030007
2860.224092,431,351.316118
18349.585394,1752,357.20043
1958.937683,151,357.31815
-11.976882,55,357.361059
5819.794041,753,358.064803
-1006.084535,29,358.09218
1908.711262,237,358.374237
3875.824594,460,363.579341
12592.912519,1223,364.513316
7727.597704,691,369.356497
973.520407,112,369.448492
-79.238234,247,369.633539
1926.195952,265,369.815216
14592.352814,1393,375.759283
890.241388,290,376.01726
1895.451564,380,376.356156
3796.952672,520,376.799109
979.670969,75,376.872272
13573.660461,1364,383.100658
931.894513,190,383.294336
8706.433579,776,383.993154
5828.637262,538,389.167689
6800.576541,572,389.552762
4894.569194,457,389.813921
25163.699619,2637,395.585023
14169.632757,2709,405.716113
-29.335402,76,405.774818
9632.310946,1007,406.401525
6665.36059,920,411.238522
989.872225,66,411.282707
4870.288664,415,411.546734
989.664809,59,411.58369
3879.109425,365,411.797247
3863.496173,484,412.078036
3913.853724,373,417.173657
2934.349541,292,417.421717
5836.833633,480,417.79504
-1026.434476,67,417.844025
944.818104,118,417.929504
5648.472195,928,418.664131
4921.652302,331,422.835492
1967.997587,120,422.91941
13695.287802,956,423.479427
4930.756562,261,423.621503
2618.086095,927,428.40447
1891.844223,325,428.600765
7862.821875,586,428.933115
1908.645959,354,429.132349
17604.328907,1411,433.821126
22292.778799,1929,439.52094
1894.846071,300,439.753113
965.576284,86,439.801166
11733.756858,826,445.167137
11708.914124,1015,446.054542
2846.18926,464,446.458647
-15.284581,59,446.493505
5786.405993,693,451.847908
2937.464466,265,452.157814
7752.871575,722,452.630161
12645.661524,1221,458.29004
-10.426625,55,458.34638
8799.063742,656,458.847984
7711.71357,804,459.458769
961.242177,139,463.850632
11619.143795,1223,464.72614
6733.131235,624,465.083407
6238.375204,1981,470.4975
1860.729979,509,474.785711
7819.398631,648,475.17713
4905.269595,297,475.341368
7743.177845,739,475.769222
2885.000971,281,479.891543
8774.028356,719,480.355045
