#{"t_start": 1683237342.8019774, "env_id": "Snake-v0"}
r,l,t
-9.554671,57,0.081285
1896.6356,335,0.275504
-0.66,7,0.280466
2863.431717,403,0.502775
-1042.01103,150,0.58632
937.343439,159,0.687111
1900.57322,312,0.872425
1969.961882,111,0.932776
6745.794121,675,5.148674
4896.862888,317,5.330528
1970.487302,125,5.40188
5735.486725,895,5.935999
7460.91685,1346,10.373029
-15.363164,54,10.426775
5845.256844,438,10.853841
2863.070469,443,11.222589
5741.646935,687,16.366915
952.42892,154,16.463222
26153.475373,2778,22.236878
11592.210898,1163,26.999216
3788.982657,531,27.321584
6602.645715,1045,27.899807
2964.244159,161,32.774577
2833.19704,557,33.167531
9733.592461,809,33.642691
8765.821953,677,38.315723
-53.321752,105,38.395205
5863.033835,411,38.695743
9771.971465,727,39.295689
17541.83723,1255,44.898106
2844.415661,481,45.191857
1876.843358,424,45.62316
9547.784123,1255,51.154386
2808.244108,465,51.439742
7706.405397,807,52.201805
-1.042896,8,52.207286
7770.073362,729,58.020175
4829.145726,626,58.485012
-35.424158,78,58.54078
-1265.198954,772,63.545631
6783.538626,595,64.028164
978.73368,92,64.081848
2945.741548,191,64.191013
6797.236445,684,64.572277
979.791187,92,64.647977
10646.804041,1179,70.207504
2932.212543,257,70.358823
2904.375899,336,70.594101
-38.471991,78,70.641465
895.136731,249,70.805636
7750.444917,754,75.59979
2902.324735,306,75.795908
-21.717843,77,75.845503
964.226313,126,75.923026
-92.841481,283,76.087518
4822.594371,499,76.372632
12518.80484,1190,82.22454
9560.401019,1069,83.070634
12726.799419,965,87.93077
6705.05621,765,88.53416
-23.376051,70,88.58581
15417.181068,1588,93.772402
13468.807739,1451,98.323721
4823.370673,556,98.638195
1937.268844,224,98.76394
6806.220262,669,103.311919
12593.842595,1274,104.122089
6703.348144,741,104.750899
4857.940052,407,108.785077
8764.340115,766,109.241899
12653.146985,1249,113.792838
-1039.241472,136,113.88561
2928.75417,315,114.109362
10686.858476,957,114.704352
20125.417953,2844,124.770568
4790.404885,628,125.136156
-1029.395701,95,125.189862
862.448321,435,125.424653
10776.548008,732,130.128046
4863.50179,399,130.596641
21194.682905,2181,136.187064
4809.368563,498,136.468543
4693.057656,978,141.350665
