#{"t_start": 1683234452.6915197, "env_id": "Snake-v0"}
r,l,t
6795.785141,567,0.69207
8810.409949,621,1.572894
3776.8953,461,2.194594
8737.538858,1060,19.788316
5650.262471,1058,20.828198
11494.009664,1416,38.739065
11628.54233,1270,54.775785
9800.848587,738,55.479822
3908.027066,264,55.82773
14553.411096,1604,72.012425
-1005.687986,25,72.057754
2894.037791,269,72.352686
6683.360337,944,88.354645
6837.384426,457,88.795484
3854.530985,378,89.180587
21332.061038,1958,106.130082
4902.021102,399,106.557457
8746.693662,793,107.346255
3874.113824,358,122.771043
4910.242337,339,123.146601
12667.241611,950,124.332025
-23.385687,55,124.401157
8274.16516,2147,141.421972
20359.848901,2096,161.180988
4858.037369,454,179.01052
9583.332985,1206,180.467953
27217.003113,2491,199.831896
9747.208545,866,218.007277
16550.440338,1472,236.977796
-15.304303,55,237.041647
3807.200686,652,237.784216
-14.768179,57,237.859031
922.127345,224,238.174363
6757.444622,728,238.959454
937.351235,124,239.073287
10724.110334,899,255.776251
18536.066867,1980,275.118693
2832.486481,451,275.565252
-25.065726,79,275.647132
-31.185213,126,275.769838
-349.389669,989,291.445
-1016.25411,26,291.470414
3863.951005,460,291.898449
-7.588815,36,291.933167
5898.283202,342,292.264992
-11.408278,60,292.320633
3879.189539,353,292.675186
5796.447282,746,308.131111
24377.361192,1998,324.712065
-65.416412,309,325.004032
10598.476964,1076,326.042337
10607.402456,1058,341.61646
-1045.677991,154,341.789435
10341.205326,1748,357.910534
902.274039,305,358.218685
969.373037,127,358.3441
2859.291861,387,358.724184
18336.831736,1979,375.192967
-140.476691,376,375.657462
-9.296236,58,375.735963
5921.809633,313,376.04677
945.326832,165,393.531718
16567.283376,1318,394.995564
948.161636,154,395.176693
1976.969864,135,395.354155
1938.170743,188,395.646842
6715.241463,882,413.89464
933.308093,180,414.067721
-74.907968,168,414.223826
9720.274705,972,430.440378
10705.015258,942,431.459502
-1030.169811,175,431.632451
1954.455397,153,431.776895
-1000.444072,2,431.778937
1664.666833,846,447.381757
10785.30972,761,448.111456
984.679636,58,448.166368
5814.292649,694,448.949631
18525.876698,1659,464.830595
2954.691187,180,464.999671
-15.195189,59,465.048882
17508.627366,1388,479.311563
1902.433279,315,479.649192
1855.689548,397,480.080478
9666.761066,975,493.68548
4836.386065,390,494.045991
-1011.493828,39,494.079479
957.335602,123,494.184077
15505.628798,1452,508.11961
5764.5359,745,508.77888
946.835131,160,508.91314
17488.904778,1662,523.352802
-1017.05696,55,523.399378
7785.071062,653,523.973841
1815.496383,513,536.968891
-1008.659893,33,536.99688
2776.310887,538,537.463856
2909.402598,286,537.707345
7735.463655,697,538.303357
15506.629125,1478,553.319229
13593.603002,1311,570.989892
984.965698,85,571.072829
4869.835888,393,571.453089
9750.108271,832,572.277535
2911.862587,281,572.552382
16627.727293,1272,589.830297
956.830642,179,590.200583
1945.381479,249,590.494054
-9.426532,56,590.551871
4898.848712,308,590.888756
