#{"t_start": 1683234452.6683607, "env_id": "Snake-v0"}
r,l,t
-42.994702,120,0.154499
10479.950842,1246,1.840855
6798.186957,617,2.63682
23712.960285,3562,39.101132
1934.202848,196,39.297959
-13.290725,74,39.369046
2916.611825,319,39.738776
-1.172277,10,39.754661
-18.319575,55,54.515274
4801.98024,612,55.13779
2894.220973,384,55.506846
1983.547197,100,55.619127
12714.102301,995,71.304702
954.28565,143,71.443519
12490.972333,1701,73.330818
-26.675137,51,73.410357
933.817059,175,88.437851
1910.349502,213,88.64108
4826.481467,498,89.135341
4859.478885,425,89.589241
-18.857244,60,89.646146
2784.223212,872,105.49216
16407.779366,1672,107.189572
4830.269516,330,122.579008
4755.970742,646,123.305198
2863.11699,378,123.752049
1937.799545,259,124.084283
2821.445709,477,124.655163
4799.963999,611,140.124335
2934.184958,306,140.450642
912.289242,288,140.729686
3829.693357,400,141.1314
3852.992802,331,141.440243
5882.540211,412,159.071045
2866.616057,406,159.513763
5882.511969,414,159.982019
929.300148,225,160.241143
922.681041,206,160.529711
-1000.220907,2,160.532715
17505.487006,1515,179.817647
-97.939739,267,180.122313
-1029.762188,70,180.205825
-19.302524,99,180.320423
-1025.106685,61,180.391315
-1.332228,13,180.406234
964.56757,99,180.522305
2945.808407,200,180.752907
-8.895823,58,180.817304
1960.400673,140,180.989679
-44.272528,113,181.141228
8718.889936,764,198.478204
12635.828739,1112,199.757387
7828.909956,527,217.448091
7834.11451,676,218.386966
2839.547359,504,218.969081
1763.236387,724,237.020967
9819.19137,631,237.712446
951.072159,114,237.87786
-10.438595,60,237.965253
8872.881277,459,238.540466
-12.035822,57,238.600445
942.584867,184,238.786164
1962.243175,185,238.973216
1964.789532,149,239.110396
1960.952117,110,254.878102
-49.213973,181,255.06558
3844.399312,423,255.558046
14438.053359,1676,274.677356
-31.829895,94,274.771859
7702.546252,763,275.521384
3872.62475,421,275.955705
-1000.197146,3,275.958785
1938.112078,239,276.188113
12591.106354,1381,292.21184
8784.988335,716,292.919422
-44.97403,109,293.034795
16623.03923,1346,309.079046
2841.395295,492,309.549106
3826.086923,440,324.605187
7494.643421,1215,325.765172
956.70879,147,325.911647
955.793865,132,326.03639
-27.366026,80,326.161081
913.101623,298,326.491563
-1020.050184,68,326.57469
2858.28754,388,341.405714
5840.645195,492,341.898112
7790.070006,641,342.527432
12600.37341,1300,358.216784
3908.35202,249,358.466995
20347.746874,1869,374.752217
14561.258143,1412,393.652007
2713.757883,817,394.483229
4709.86584,856,395.631518
8743.008286,694,413.716161
6754.440784,770,414.451199
3873.933947,430,414.87805
1887.646318,277,415.139716
1903.973877,239,430.646087
17539.580463,1422,432.135314
3801.807805,593,447.483085
1893.525773,224,447.698369
4829.777273,573,448.252089
2869.998741,429,448.754699
-11.250116,52,448.807985
956.644876,116,448.938574
-71.409326,142,449.073514
5842.065337,560,464.024155
2886.715339,320,464.294175
18632.836938,1270,465.377621
3877.664077,350,478.740594
4861.246084,386,479.075751
2837.296146,363,479.395376
-1015.420073,33,479.424805
3864.875636,311,479.810258
-10.668536,60,479.885736
1903.951958,244,480.109574
980.313539,87,480.184342
2807.943831,617,493.473563
960.464534,113,493.576741
970.141152,93,493.659174
5849.888189,451,494.071107
10505.53698,1492,508.040014
6682.754748,898,508.829694
6779.228183,673,509.397431
-1007.40327,32,509.427445
-1008.582634,43,509.466964
-1031.358818,94,509.546394
-59.513896,180,522.734713
-36.9091,126,522.842449
-79.945031,189,522.998351
982.607587,103,523.083301
14656.745575,1038,523.979519
10748.061966,896,537.305508
976.141825,93,537.385736
16365.853159,1909,552.670963
10683.781045,1054,553.806673
14524.832703,1239,571.32066
-1031.283218,66,571.383183
9768.820297,740,572.116783
-1021.555531,66,572.179638
-1056.367108,189,572.365716
-1006.551443,32,572.396911
15507.212338,1301,589.648375
12665.085619,1037,591.005123
