#{"t_start": 1683234452.6660707, "env_id": "Snake-v0"}
r,l,t
3884.872899,334,0.439405
-1004.872757,10,0.450198
-34.519183,102,0.558926
4783.53837,542,1.278851
2951.916363,219,1.623677
-17.161801,59,1.708419
3882.251218,344,2.170116
975.247349,93,2.294579
7792.332134,589,19.398532
8671.541918,1024,20.410894
2845.101523,289,20.689893
931.899942,127,20.817728
-14.015702,58,20.875808
8819.237302,571,37.989269
-14.145303,91,38.073289
6516.849738,1392,39.398914
3820.504516,611,54.803788
-1006.279457,25,54.827488
5808.080072,566,55.361182
4622.588481,1150,71.215677
974.948779,112,71.325086
-11.77369,52,71.375815
-15.995289,61,71.433491
-25.126398,97,71.528115
19410.188974,1726,88.330035
30710.031044,3317,106.660862
11400.740144,1768,123.585937
-8.737838,56,123.668273
5661.372089,807,124.659425
2836.278794,455,139.979053
1967.539256,127,140.098365
-16.670044,45,140.143506
3819.878423,469,140.632718
2828.723345,463,141.083106
2925.844619,310,141.382996
20444.178655,1847,160.680741
4752.429937,679,178.926471
-1017.011738,97,179.040419
989.358652,75,179.124881
3816.890171,575,179.852836
953.243438,149,180.023563
8780.191108,769,180.920508
5853.517236,493,197.972029
4786.012822,535,198.583281
1941.323539,241,198.8708
8882.073101,505,199.38323
8758.470828,828,217.489686
-38.863127,119,217.652621
-17.711052,80,217.750897
1955.537879,187,218.027468
4877.386251,352,218.512354
12758.805213,880,219.483078
1934.077341,187,236.935652
4888.920859,412,237.383309
8669.633932,857,238.471635
2920.863309,308,238.785593
-15.013264,98,238.891047
-8.320199,54,238.943304
8587.092189,1044,255.768775
9736.128576,869,256.774733
12524.185331,1387,275.399737
17604.445944,1387,291.464708
-11.028614,52,291.516031
10745.405989,1000,292.468327
2962.705009,164,292.63373
2860.06975,502,293.141554
10586.914879,1190,309.033655
954.645948,145,309.167672
24344.639779,2043,325.757865
-1034.749566,70,325.823906
3855.699723,516,326.409031
3781.951365,660,341.522487
14638.415632,1048,342.565397
5808.836014,639,357.61127
11575.029586,1185,358.774975
2855.570474,369,359.159056
3894.566734,414,373.961188
-30.486026,97,374.057253
10615.154599,1186,375.358747
8769.823432,745,393.505067
4822.450944,488,393.963617
7691.561822,1071,395.239283
2905.665966,338,395.762909
3838.751514,499,413.591638
-9.68073,59,413.652909
8923.599331,3106,432.032791
3817.144903,459,432.475637
5782.600665,673,447.910953
10699.617489,887,448.876321
7879.821382,449,449.340273
12645.352685,1155,464.720814
3905.161493,270,464.965764
10649.358799,1178,479.038724
4628.963195,902,479.977602
9697.16536,940,493.547462
-135.889734,370,493.877317
971.266302,125,494.005211
6818.110206,603,494.551779
8773.827358,692,495.146371
3921.308895,310,508.0695
-8.749884,44,508.108624
9728.000434,883,508.88599
661.901649,1068,522.829284
-8.456815,52,522.873214
846.697776,585,523.358711
6837.154981,587,523.871153
984.702733,72,523.934651
10684.92302,1034,537.380781
951.652041,168,537.528862
11764.658088,823,538.233503
7784.163469,718,552.467847
2912.196957,239,552.702819
-1005.707986,26,552.726119
11601.621522,1302,554.334599
1948.770394,182,554.557567
6691.436577,798,571.367393
3906.078894,317,571.684049
9676.786283,937,572.60166
15592.960954,1277,589.946819
3857.750165,465,590.588964
