#{"t_start": 1683234452.6863194, "env_id": "Snake-v0"}
r,l,t
-1155.701448,394,0.484196
8737.964832,931,1.765164
28881.880975,3290,38.208604
5868.164431,466,38.64633
6623.524268,930,39.54906
936.434555,175,54.484996
2878.393383,373,54.877894
2939.574191,199,55.064349
1938.673283,169,55.228815
7654.811284,958,56.320733
22353.425486,1975,72.904178
7805.954525,806,88.718899
7717.056078,748,89.491585
9805.008491,780,90.249715
959.159646,144,105.388225
879.805157,368,105.744184
-14.380484,59,105.804428
3819.566012,531,106.357359
-1271.580686,802,107.16942
4821.85078,510,122.745021
8632.29241,1361,124.38965
6818.665239,589,139.874709
-1161.624084,576,140.458853
7737.697835,768,141.211964
2858.949075,510,141.687038
929.170628,138,159.064195
2866.691109,435,159.537712
2894.866937,414,160.0093
1935.899706,180,160.216927
5838.919021,464,160.831812
2852.244769,402,161.451619
5782.778988,697,179.60937
2950.764105,257,179.907975
7846.201097,591,180.590592
1945.238268,183,180.799593
-45.99012,75,180.894688
3805.069608,503,197.959587
8771.258232,765,198.845829
5851.48001,480,199.330546
2906.694829,280,199.703552
904.549239,183,199.922755
3915.254564,284,217.305402
14622.161363,1309,218.994961
-40.03194,130,219.150759
-9.89724,58,219.218555
1904.123354,282,219.510657
-48.07775,165,236.947755
6806.618271,607,237.590508
3878.79065,498,238.288372
15590.181633,1271,255.247056
10671.958592,988,256.487588
12471.836739,1647,275.389733
-51.231143,94,275.476755
9695.748275,833,276.307353
1788.954805,476,291.46958
897.560302,246,291.699584
3913.14174,373,292.050678
2744.973719,902,292.946328
2891.333612,233,307.903397
2884.860985,350,308.237539
5813.3093,611,308.850713
4845.698804,462,309.29021
16485.016127,1776,325.624515
3786.835861,570,326.256149
6728.082511,732,341.447502
2879.949314,319,341.768814
7639.253896,965,342.718354
-1008.100485,32,342.746115
1968.28022,116,342.85376
919.878001,177,357.461659
2803.924998,588,358.030043
958.842985,162,358.183215
6704.829275,818,359.017082
2949.051165,204,359.209538
10602.348677,1235,374.85464
-21.483848,78,374.94268
1957.080585,211,375.217283
7844.8308,572,375.896784
-1012.638141,77,375.970922
25136.34146,2224,413.224627
3867.373601,385,413.594641
15540.192446,1468,415.014717
981.919894,90,415.098277
7814.20728,511,430.920668
-1015.828965,32,430.969008
6574.38494,1183,432.158208
5832.901666,430,447.348662
10438.892206,1370,448.757427
2943.990049,203,448.974072
3803.881442,621,463.98615
-19.856711,117,464.085167
13596.740704,1275,465.176093
910.285294,252,465.384844
962.131258,162,465.517826
-1001.587378,5,465.522142
2952.493329,188,478.753686
7513.094905,1415,480.13781
-111.020042,343,480.42841
24778.188208,4081,509.428143
-22.884901,67,509.487161
10465.885123,1457,523.763261
1904.73312,336,524.055537
15296.641674,2071,538.386076
965.336667,144,538.507103
13656.201954,1178,553.222542
-45.256954,136,553.41864
3836.792975,470,554.126635
7697.071113,892,571.115182
971.829126,118,571.23281
2879.45322,347,571.575556
4858.687246,461,572.026215
2901.858226,265,572.287084
973.974262,124,572.408661
2896.190573,284,572.682062
-1004.708991,9,572.691483
9799.296503,739,589.347987
981.817127,115,589.493354
914.778162,255,589.780429
-61.478244,188,590.185468
7831.71849,581,590.847326
