#{"t_start": 1683237342.8049593, "env_id": "Snake-v0"}
r,l,t
-1014.623029,56,0.07724
962.625471,116,0.148956
6727.278315,805,0.600214
6775.256402,617,0.961439
3870.842045,328,1.142981
8769.151209,833,5.457153
3781.430565,462,5.714105
5898.446082,381,5.962108
4836.500093,442,6.251149
965.484702,106,9.801464
-1030.006235,79,9.846437
-9.918221,56,9.884994
1847.557529,419,10.189435
3907.130295,299,10.510111
7787.341847,645,11.081539
956.308368,134,11.180137
845.458082,453,16.154944
2949.013032,240,16.324689
10649.977734,975,16.884508
19417.943499,1787,22.098964
6793.960926,790,22.569378
15653.568122,1044,27.27766
-148.645767,406,27.506214
12540.879673,1271,33.048418
10657.19312,1115,33.730189
957.000299,119,33.816701
5761.732436,645,38.490556
3769.325016,627,38.929492
2801.632858,611,39.453364
-25.235376,72,39.496734
18479.236412,1787,45.523025
14642.383718,1251,51.100753
1942.874148,185,51.221658
-37.023524,127,51.302473
3618.615196,1041,52.202278
8509.178222,1249,58.393735
-28.913299,65,58.448927
3910.966622,365,58.680111
4874.76241,423,58.935566
-20.443993,62,58.973198
10685.439229,940,64.198049
8728.823591,925,64.773566
974.355503,87,64.819123
-74.890208,135,64.952393
10701.823315,946,70.297949
1899.693575,277,70.454457
8710.85849,878,75.305735
8742.355352,652,75.782209
-18.499122,97,75.84474
-8.730665,53,75.875965
-21.496695,96,75.935811
16015.268518,2922,83.017871
1913.210355,273,87.393182
3855.985496,393,87.691329
-1007.120048,30,87.711416
-10.71885,57,87.747031
8722.721092,818,88.343017
2954.328095,144,88.447449
11761.610624,1022,93.33936
3892.514213,331,93.541525
13568.987911,1196,94.184858
-1029.295962,64,97.9194
-12.350682,58,97.959388
8636.979889,1103,98.635967
3846.129836,415,98.861868
11602.101807,1101,103.737983
8800.723884,596,104.088323
2829.485045,535,104.596926
2914.055944,293,108.51128
10694.33773,845,109.069461
5824.769162,526,109.365402
5849.723153,471,109.625869
1934.431676,236,113.538474
3920.229752,252,113.745648
3741.85264,708,114.231562
14430.928318,1590,119.589757
13283.766168,2081,124.811262
8748.923709,739,125.232263
2923.509601,353,125.422977
1955.451812,147,125.5027
16492.244599,1485,130.895023
3913.184472,322,131.093084
2961.088388,224,131.220405
19622.740674,1213,136.232003
3856.218554,387,136.449
12522.416052,1229,141.484614
8807.977221,575,141.829401
18285.076397,2083,148.271469
7573.696077,1220,154.998384
1836.868181,431,155.265884
20320.209419,2085,161.458689
-1038.782043,79,161.504622
4876.228539,427,161.861778
9449.153801,1655,167.418039
9820.544815,577,167.73929
4852.426478,524,168.031025
10659.886041,1083,173.164183
-11.443521,50,173.194203
14741.444761,917,173.727664
12554.654682,1229,178.491481
-16.755332,51,178.520236
-1051.663581,158,178.619054
6875.551985,476,178.957917
2919.661233,250,184.211108
16628.290344,1206,185.074643
-1037.84885,97,185.137614
13612.114633,1247,190.904896
-1009.818138,37,190.929023
-87.529344,267,191.116561
3947.285841,275,191.377371
2745.952169,723,191.970956
-1021.679159,44,192.004076
14686.974727,920,196.970778
1897.280662,343,197.190136
970.74876,150,197.276752
1944.19341,170,197.373381
1929.674365,203,197.509676
-29.798616,115,197.597962
9677.890674,1016,203.01273
12739.953659,916,203.86275
3865.577115,359,204.111399
938.866288,221,208.367584
-89.426702,246,208.550043
4802.429188,623,208.922397
-47.07074,109,208.985718
4873.640127,399,209.219081
963.958932,104,209.289693
18456.74449,1513,214.400601
1898.827226,247,214.537352
1893.225521,281,214.693535
4778.812362,724,219.367856
3872.230839,322,219.590431
762.07586,578,219.949048
1931.422346,218,220.073027
9768.32282,805,224.770551
10680.917104,953,225.385358
13502.81242,1549,230.727998
1917.242028,318,230.949749
1950.768972,151,231.040948
-17.106123,58,231.077983
1905.041483,204,231.194053
6796.369638,643,231.800102
19372.089489,2098,243.013395
-1024.56825,63,243.093005
17474.754039,1557,244.116802
4883.316583,367,244.352716
18442.60014,1746,249.912484
3855.213265,465,254.866641
12486.713636,1458,255.760337
3808.851284,670,260.636575
8838.423246,577,261.035662
-11.776785,63,261.083622
-9.253847,51,261.132132
-1000.328284,7,261.137725
2912.673167,253,261.345794
7706.826341,814,261.863416
967.776152,127,266.19443
971.409749,126,266.300409
-69.440043,187,266.43356
2925.120345,226,266.573908
9738.826933,965,267.143152
8700.061833,820,273.506369
7815.178026,575,273.97731
2946.966125,203,274.128844
1832.992147,371,274.341936
3933.900873,254,274.522475
940.831072,230,274.715204
2911.45799,285,279.769697
1889.839181,266,279.990786
4635.203185,1102,280.758191
-1020.188136,57,280.799782
923.836486,185,280.929012
2950.166378,163,281.045384
2728.157333,685,288.909364
5837.395127,598,289.708783
-10.163053,56,289.75652
13755.52147,780,295.963004
1864.676038,473,296.295681
13743.802987,902,296.816967
10679.188028,1117,301.568513
5813.998206,573,301.99026
13714.906209,847,302.749981
-29.737329,86,302.827075
4839.06287,454,307.721498
2922.472481,265,307.909512
1846.846984,375,308.138524
2913.420377,269,308.305038
1913.180361,234,308.440214
2912.16264,199,308.556749
1857.619366,499,312.902741
8716.273787,812,313.430718
933.946252,142,313.510802
3871.114237,333,313.718356
2922.80449,234,313.865109
923.418913,199,313.973284
-31.249941,125,314.043506
10726.911553,831,318.803892
4863.1045,396,319.065901
-60.537352,183,319.188802
1948.270328,179,319.295347
7731.657196,722,325.497654
872.656041,476,326.026474
5672.043037,1067,327.202731
8801.301593,782,332.537334
-24.890781,75,332.583647
2960.375901,226,332.725418
3939.390318,279,332.954983
10742.411026,858,333.475139
959.088901,136,337.799109
13550.738143,1112,338.635768
5855.74974,506,338.930139
11462.361357,1608,344.91761
5746.477743,814,345.650107
12492.385008,1440,351.61495
-16.850493,87,351.66738
3940.545995,249,351.808678
5834.468524,583,356.778862
8719.984762,833,357.529253
1968.673179,114,357.684975
962.22888,154,357.809535
3884.893609,284,358.074887
16003.283218,3141,369.744892
1876.861561,413,370.02051
1876.868454,290,370.191785
12714.50698,923,375.869001
2840.614276,443,376.265841
931.12583,252,376.489623
15267.065283,1982,383.271249
9287.201354,1906,389.551201
937.684032,179,389.652151
-9.702707,36,389.672812
8807.696776,612,390.057751
-18.136472,61,390.090828
916.937429,227,390.232486
9671.562503,1092,395.089135
16454.52218,1671,400.179613
1934.92094,194,400.307464
5777.219621,680,400.716015
944.875253,197,400.830474
16480.845287,1724,406.273279
1939.448403,161,406.367213
-13.018058,59,406.405053
-1022.349725,59,406.439199
1894.641854,326,406.632215
29805.118737,3270,417.947217
3720.028741,720,418.552885
3709.661091,816,423.032445
1967.198186,107,423.09818
2931.764146,251,423.243235
3745.881115,776,423.672075
2909.618773,339,423.854364
10699.937986,932,428.665832
5871.694314,569,428.992199
2848.735455,434,429.236821
6854.798318,450,433.345098
952.484296,141,433.438388
6855.403856,530,433.756228
-6.460052,48,433.783344
2854.36292,331,433.983626
3853.288345,335,434.301145
8812.239014,730,438.920652
3888.794977,378,439.273441
6715.863995,758,439.888802
6770.379777,672,445.166248
6759.534243,721,445.70459
9747.103023,889,446.542254
923.478795,280,446.74429
14631.343401,1141,452.521847
11640.705913,1055,458.016701
5780.686906,547,458.474389
-54.376468,109,458.59371
13576.068396,1336,463.838277
-57.350205,115,463.922352
1888.905823,283,464.112792
-23.28237,166,464.214363
15676.757017,1029,464.926064
4821.626233,494,469.400427
6784.611311,714,469.916081
2952.449827,163,470.009656
9733.128215,940,470.52884
26725.436255,3764,480.719141
7750.775625,735,485.016893
3874.429249,511,485.345154
-10.724886,39,485.367655
20126.720625,2674,490.914366
930.855897,143,490.991587
5780.785885,637,495.789572
6794.054663,748,496.257851
-12.940455,57,496.291983
6704.165593,773,496.73169
4822.215167,488,501.290314
879.456637,382,501.577171
10754.89724,746,502.07335
-1003.329636,7,502.0773
1926.287838,274,502.249519
11727.381663,854,507.236472
-19.754923,146,507.33386
5721.287666,728,507.765215
-2.207524,16,507.775701
14466.715446,1446,513.023616
1914.06169,212,513.151959
7814.610252,652,513.569294
-1010.531882,37,513.590621
5839.588642,497,517.868134
972.81621,98,517.946385
26053.076911,2910,525.494844
13566.667235,1277,530.87937
14360.98988,2035,536.825961
-1011.874036,40,536.856333
15588.977461,1213,537.826299
-27.974815,175,537.929476
25223.948827,2501,547.331147
5785.5994,606,547.768437
982.720296,115,547.836394
5645.850805,1056,548.426615
-1137.459171,435,553.372859
11744.719835,834,553.935739
976.96694,129,554.080379
-23.091555,106,554.141011
-42.747788,71,554.18078
915.152207,254,554.321833
6840.477623,546,559.094519
5857.566842,451,559.454406
4902.418634,353,559.733209
5825.248687,475,560.069528
15491.391357,1596,565.990837
901.927088,282,566.189337
7856.860914,478,566.658172
4870.908084,393,571.520169
1913.123199,245,571.728492
2890.89703,287,571.914699
1816.378956,460,572.20065
7751.750995,671,572.709655
3819.35599,446,577.644187
20713.29905,4082,589.553628
11660.040631,1035,590.275862
2917.765552,265,590.434042
15535.654415,1425,595.662436
968.406515,97,595.719547
