#{"t_start": 1683234452.6899414, "env_id": "Snake-v0"}
r,l,t
917.854003,253,0.301648
-23.119505,96,0.434298
3872.537424,439,0.910945
5648.637703,980,2.35549
-1021.586373,65,2.434712
-1071.583394,181,2.657457
983.815921,68,19.175697
2891.65175,389,19.541182
10628.146449,1277,20.810271
9443.266472,1453,38.758854
1936.651252,188,38.931052
1810.29517,583,39.498767
1905.921571,236,54.502146
1761.527318,622,55.13581
-15.766421,61,55.192141
2907.279476,240,55.420107
-30.647046,96,55.516215
945.327914,162,55.747816
4858.275844,359,56.171751
1866.401921,475,71.217721
10656.884142,1146,72.370402
7775.38641,689,73.192001
912.956203,309,88.422686
8686.963564,858,89.273858
4860.849106,357,89.650766
4789.637624,571,90.204157
5816.081154,548,105.735455
16352.257817,2120,122.940426
-59.243962,167,123.158117
14566.973807,1275,124.712038
2944.982513,185,139.769176
948.928954,129,139.889411
9707.109107,722,140.619878
903.465327,250,140.857772
10563.806412,1021,159.081841
16628.252452,1113,160.368033
1975.386335,101,160.501208
1902.928478,322,160.923333
1967.838289,128,161.191121
-1349.163629,1013,179.72863
1914.711534,239,180.003392
3850.713079,511,180.595322
4815.650495,533,197.659678
-17.721307,58,197.745527
5779.935219,575,198.425151
1981.830563,121,198.565233
17243.448941,2050,218.135008
17621.922283,1100,219.42182
4747.725679,696,237.420414
1960.057017,138,237.557858
27089.663018,3006,256.723428
-1015.568422,60,256.783948
1959.162706,118,256.90375
5822.476671,472,274.618332
13631.729887,1142,275.74777
-7.676724,52,275.799963
12614.853918,1120,291.594629
3856.146994,455,292.021549
3882.0704,333,292.341439
4863.656699,496,292.839777
11624.211589,1087,308.624598
5798.60625,565,309.187497
4700.170676,699,324.490449
3872.340387,432,324.906609
1918.040356,245,325.141137
4817.245181,445,325.558395
-17.375718,62,325.624128
6854.993104,550,326.234853
10736.312343,1009,341.700931
7789.543409,709,342.405822
-1042.242661,150,342.551739
985.32428,101,342.645529
-2.617732,17,342.664583
1971.357553,158,342.815796
1904.532327,364,357.597538
-1006.802964,34,357.628093
7694.855701,957,358.574808
-1000.460435,2,358.577927
10572.43923,1325,374.283148
4866.765483,483,374.797485
1917.365538,256,375.097806
-1041.266429,93,375.218332
7643.525899,1123,393.752418
18543.866863,1578,395.685036
1943.455836,212,413.260861
8756.374174,819,414.054463
2753.493136,760,414.791468
6797.443985,568,430.609738
14513.712247,1420,432.097384
4940.665759,276,432.360299
884.884847,271,447.402869
11695.162521,954,448.32543
1931.856692,300,448.694827
4928.409294,301,449.009916
-35.929259,98,449.113556
1887.864213,284,449.42166
1903.012711,264,464.037123
976.514208,80,464.106489
2923.549069,272,464.333118
6687.893961,851,465.062875
980.636174,91,465.139096
-17.232955,57,465.192991
10646.246028,1172,479.265525
2902.969365,331,479.594114
4699.325759,845,480.431706
13727.19615,961,494.053218
10564.101388,1155,495.075029
5809.336688,532,508.190132
928.732509,139,508.316838
1822.969526,526,508.779361
2874.528389,345,509.065024
-11.010177,53,509.109964
2805.083423,652,522.707855
-29.30936,115,522.806548
3853.292723,419,523.155298
13313.841845,1823,537.282479
-2472.02911,3978,570.988382
27803.548437,3446,590.661975
