#{"t_start": 1683234452.6931477, "env_id": "Snake-v0"}
r,l,t
980.190706,81,0.095972
1934.303423,266,0.428091
5795.669446,572,1.060638
1876.61124,345,1.678866
3929.526963,305,2.092778
2801.88598,661,19.315383
-79.40907,235,19.532812
976.779438,89,19.623711
5769.990395,634,20.255096
16301.760676,1988,38.73027
10704.349633,1054,54.520049
971.872468,137,54.641203
2970.06465,174,54.854052
965.692603,142,54.986242
-22.894489,69,55.052142
3898.24089,298,55.339065
-41.173336,76,55.410252
-1012.279368,41,55.452645
2906.588082,299,55.837606
13687.805159,1033,71.479483
13552.749395,1361,72.897882
-1047.794846,153,73.12595
10656.268416,1099,89.155396
4897.747376,327,89.510829
16535.014626,1615,106.088861
4410.666483,1443,122.621898
5804.640279,586,123.288525
14552.061304,1326,139.729884
6889.112255,444,140.148062
3819.251811,503,140.668354
1921.246542,285,140.94215
982.144897,81,141.028793
918.682784,223,141.245577
3866.673554,389,141.611268
-58.639822,107,158.948069
18503.290768,1553,160.755207
904.008447,360,161.335096
-12.028761,53,161.398825
12725.58353,908,179.804706
-12.255215,40,179.850146
14462.014648,1698,198.299484
6774.881852,712,199.090587
13420.058579,1619,218.199376
11500.051696,1389,237.04255
5777.321906,644,237.773872
5895.20617,339,238.233675
7778.203803,741,239.018054
958.285845,128,239.148844
939.089927,212,255.013244
2920.068662,257,255.269047
2857.43397,367,255.784498
3885.816119,302,256.174495
3954.506654,201,256.394941
1883.070937,338,256.748938
12640.051077,1065,275.052919
-7.108222,50,275.099076
-22.060576,87,275.188224
-1004.995221,31,275.221073
7824.795697,481,275.696939
9659.569818,902,291.287306
945.49218,143,291.424514
6369.510813,1932,308.024169
935.872425,197,308.215463
9530.458653,1322,309.5093
6808.325403,555,324.67558
-36.802663,94,324.768691
1858.513725,382,325.131279
1897.454445,252,325.370334
8832.205652,548,325.901867
16656.267057,1108,341.528345
2910.910235,410,341.946705
12659.811372,1226,357.569361
848.843879,327,357.87748
5856.119369,460,358.338012
7678.441268,1053,359.377439
8768.691524,657,374.41696
3904.028233,342,374.80457
968.358643,126,374.938258
3773.497885,589,375.682609
4813.288849,445,393.464134
1809.196468,571,394.001132
961.485018,120,394.112452
17519.430768,1495,413.351345
5844.502331,582,413.912226
11568.533175,1091,414.967741
10687.076166,1146,431.452998
7870.54643,533,431.964198
16550.085107,1296,448.003278
3872.209594,409,448.41329
5882.158521,342,448.839812
9769.642708,669,463.90667
10661.471036,982,464.72669
923.479571,194,464.907707
15492.042735,1636,479.381295
903.115526,228,479.639593
14611.143541,1249,493.574475
-1006.558875,28,493.598243
9263.258721,1872,507.920054
1964.508169,149,508.046989
14473.731184,1427,509.281002
10633.256718,1244,523.36938
1956.499101,160,523.507289
-102.798719,296,523.770767
2851.676427,522,524.220064
7717.245326,823,537.487635
5829.313534,523,537.927514
3828.97352,581,538.427453
11748.333453,978,552.937206
898.595627,197,553.119534
5882.819811,405,553.645969
1694.462713,738,554.638459
908.520973,166,570.826115
-36.498008,126,570.955852
7862.757977,453,571.401219
6834.787417,471,571.867028
-1008.036346,40,571.907327
-9.96618,52,571.956409
7859.728136,470,572.42259
9599.103012,1136,589.495938
-38.535613,77,589.580772
-41.878439,129,589.721937
