#{"t_start": 1683234452.682562, "env_id": "Snake-v0"}
r,l,t
5878.422236,448,0.545903
9562.385824,1116,2.096244
-9.993037,58,2.170234
3899.005161,258,2.505657
-1.912732,17,2.523614
1839.729689,458,19.439601
13461.691168,1479,20.903126
1902.904737,214,21.098927
-36.095764,113,37.789012
12677.135468,1064,38.788781
2939.909886,192,38.965711
5722.814059,754,54.473458
12518.645913,1631,56.239034
917.047309,237,56.47809
936.627751,179,71.219623
814.950779,522,71.72072
4769.512597,654,72.399372
-11.990588,56,72.450701
9792.41898,684,73.317101
2930.403535,223,88.420933
-1001.446098,5,88.425518
4883.245844,378,88.79062
-54.549709,128,88.916999
11677.300033,1027,89.956317
8604.502851,1150,106.089106
-1007.429002,39,106.132032
6816.766536,629,106.804832
1957.068989,187,106.981966
-13.028166,93,107.075143
-70.230674,223,107.291476
7861.877034,445,122.798702
-12.187676,43,122.839579
2870.089616,402,123.326178
8722.22114,762,124.262976
936.889855,188,124.492131
-18.078278,127,124.634427
-90.006979,262,139.773289
8018.004233,2624,159.625783
1911.358822,264,159.939334
-2.559501,17,159.9588
-127.887241,314,160.348559
-1003.114888,10,160.361168
-23.155024,54,160.437326
3890.459409,398,160.962292
17680.40789,1101,179.711895
554.34905,1650,198.11416
927.314952,241,198.383785
-1009.409091,47,198.434496
1930.656786,229,198.688194
14571.366111,1258,217.204252
6828.992027,570,217.990913
3859.619429,536,218.710207
14455.728964,1615,237.717577
12674.478249,1139,239.042359
-183.110315,446,255.146167
-1.36273,13,255.16044
-7.748515,33,255.194806
10707.260883,931,256.371715
3802.197952,473,256.865432
2892.217426,273,257.160653
963.637179,131,274.517807
1955.239392,201,274.714992
1962.051393,213,274.928619
7862.358073,468,275.389398
2869.570112,299,275.684016
8755.610904,719,276.392461
4868.207398,411,291.495039
1952.990779,206,291.686684
5867.370867,417,292.081895
3861.136192,399,292.469811
942.082835,123,292.59459
970.343397,204,292.800026
17348.144771,2042,309.521753
-11.202886,40,309.561208
960.106225,216,309.780195
17362.747241,2038,326.443446
-58.118775,196,341.093536
1966.385168,186,341.27533
-1837.629487,2850,358.51443
5512.101381,1458,374.352299
2904.863822,349,374.740172
-1005.417947,13,374.751879
-40.868206,141,374.890311
4890.759912,396,375.392626
18638.353043,3924,414.364265
8785.140332,694,415.045399
5843.696815,463,430.76878
7665.468338,1009,431.84605
-11.109011,63,431.905523
4818.485839,468,432.364237
20473.990715,1702,448.898708
9533.536357,1330,464.511724
16422.279806,1625,478.973452
8767.353695,671,479.599147
5765.127321,803,480.403474
18513.865138,1364,494.387977
9713.372127,851,495.130119
-1058.80869,170,507.936014
10740.341703,845,508.680088
5772.472153,640,509.213604
4761.963655,574,522.747733
1942.121068,176,522.896579
7797.131047,550,523.353695
953.27377,197,523.524569
825.68734,455,523.923637
6759.85101,803,537.17178
4899.36432,393,537.512557
9620.098437,1036,538.395715
5871.562235,432,552.331748
1928.584239,268,552.645772
18498.749848,1516,554.501412
-24.489432,61,554.562715
3808.9537,564,571.148993
-46.828448,127,571.271364
2886.881635,290,571.559178
2927.438113,233,571.783477
17437.536387,1991,589.725057
-17.690216,50,589.788083
