#{"t_start": 1683234452.6844516, "env_id": "Snake-v0"}
r,l,t
14610.066188,1153,1.532311
887.209252,272,1.907301
1838.127832,586,2.656258
1874.286535,389,19.480029
10721.808629,1081,20.55336
6833.217442,578,21.10719
1910.212528,268,37.940085
2738.842163,723,38.621351
9922.932315,6134,89.23565
983.769152,69,89.318529
1905.820978,276,89.60386
3873.052452,295,89.88325
-16.291189,98,89.980258
12757.067394,906,105.868911
-27.653221,82,105.946863
10270.581335,2357,123.501215
1933.407927,291,123.874343
-18.494353,107,124.006768
7611.689375,1163,140.13399
907.613247,258,140.414206
5928.352768,339,140.743027
2894.828123,286,141.015515
9827.723824,727,158.953197
24299.346872,2540,179.383053
2884.495845,372,179.852899
16574.657308,1395,197.953979
10711.169572,824,198.898936
1926.876415,255,199.156337
23212.352391,2492,219.29701
18583.5904,1332,238.110491
2822.270659,385,238.564693
14551.870726,1442,255.814543
-12.771854,55,255.889291
-86.920668,276,256.23044
2498.360209,1631,275.129447
7709.643637,892,276.031729
-91.879565,238,276.252819
6728.945041,840,291.756241
2635.647791,1151,292.881673
1903.585114,342,307.946693
911.897617,245,308.17965
27066.857732,2843,325.555642
1942.7047,191,325.747038
24342.78054,2118,342.382829
9548.346544,1228,357.994633
3835.183951,461,358.461609
1939.831628,160,358.618227
5635.48274,1092,374.105599
2891.915494,365,374.447972
-193.254131,763,375.355673
10549.490931,1509,394.21109
11625.028865,1237,413.207401
10769.297326,801,413.973121
869.784682,467,414.422129
5801.837234,568,414.979307
8651.779935,1001,431.319157
2855.069566,481,431.79049
8620.242682,1086,447.618751
8786.360346,677,448.278609
935.327547,189,448.488628
5737.445894,686,449.254568
4840.209787,421,464.038995
5775.490223,766,464.678027
4862.724493,435,465.062877
11693.622687,853,478.855211
29928.903949,3641,494.97142
18481.118217,1685,509.08707
9738.906252,782,522.795702
-40.684788,151,522.922152
3725.380169,757,523.563604
5853.522435,512,524.01169
3890.723714,349,524.307101
2916.801985,234,537.065888
7794.959951,744,537.707762
5848.563401,458,538.088997
8706.612074,824,552.410994
977.843994,104,552.529567
2784.527939,587,553.072972
1967.41569,149,553.226586
3888.06219,333,553.676308
6717.762979,828,570.78193
-1097.338002,213,570.998973
-17.938369,60,571.057495
6726.213448,666,571.712283
6682.592866,762,572.460693
9599.415901,1188,589.59706
